	001_V2	010_V2	015_V2	017_V2	024_V2	028_V2	034_V2	040_V2	042_V2	043_V2
ENSG00000000971	172.6516434	78.66010784	81.36655225	71.95044364	136.4058539	104.3268202	106.8729153	117.6539935	224.384091	120.5269193
ENSG00000001036	48.37279618	47.8369424	38.49961556	42.50580758	47.43542575	47.77407294	48.38235216	45.33925619	47.16495593	45.23041796
ENSG00000001084	69.50910317	101.3197121	87.31282795	70.06129663	84.76057557	113.1054945	92.27597335	115.9631106	94.01122972	115.045439
ENSG00000001167	24.92831214	22.46886689	26.74144327	21.13890354	21.34759901	22.94511863	17.61227267	27.40803258	21.67038516	19.79241076
ENSG00000001460	8.309437381	9.346133085	9.742485612	8.696590516	9.546752352	10.36109626	7.058615117	10.14529757	8.795626916	9.190505827
ENSG00000001461	16.94861434	15.14455035	16.56222554	16.28575003	15.81180858	11.98119495	9.662764383	18.12783791	19.85389699	18.24971871
ENSG00000001497	54.96758775	36.96491004	47.93974817	33.32064456	41.46870553	38.65630823	32.20921461	41.28900174	54.4309086	51.99200439
ENSG00000001561	35.01834325	38.91043162	43.53883225	30.32406656	42.59575268	35.41611086	25.11633437	45.85045336	33.55722878	33.41405333
ENSG00000001617	26.14834858	18.12005394	30.00013673	18.07718253	15.84495703	16.23866359	15.11091877	22.09944664	23.16819119	32.62629568
ENSG00000001626	1.220036441	0.724802158	0.436732114	0.912002002	0.961304924	0.753534274	0.239855853	0.786457176	0.637364269	0.853404112
ENSG00000001629	57.96821792	61.76077333	56.60720089	48.01039109	57.51255323	56.21365681	45.77820289	65.00068559	61.82433412	62.42979315
ENSG00000001630	1.220036441	2.784766185	1.948497122	2.345148004	0.99445337	1.13030141	0.582507073	2.005465799	1.816488167	1.706808225
ENSG00000001631	45.20729623	38.87228414	44.17713304	35.20979157	36.62903246	37.14923969	30.29036778	39.63744167	44.71110349	42.76867533
ENSG00000002016	19.88329659	14.87751797	30.57124796	18.27261153	19.29239538	14.84462519	13.46619292	16.04372639	20.23631555	16.14903167
ENSG00000002330	25.12615589	29.48800357	26.13673726	27.58806055	30.69546069	30.8572285	36.83500607	26.03173252	26.10006683	26.32423455
ENSG00000002549	81.11593634	77.09606108	88.52223996	81.46132165	95.00344528	72.56535054	70.41482556	86.2743522	76.10129375	70.30736957
ENSG00000002586	421.8688169	334.6678594	284.2118217	334.3464481	428.8082932	335.812549	374.4149873	280.2540147	397.6834358	306.9628946
