	052_V2	054V_2	063_V2	070_V2	072_V2	078_V2	085_V2	092_V2	099_V2	100_V2
ENSG00000000971	169.4300514	231.0713422	419.7073486	290.3502629	194.1081112	242.6759398	339.5794747	275.7509765	225.9370966	330.4033469
ENSG00000001036	48.03177509	56.21551694	61.00517536	56.61298905	47.87846829	51.77668351	46.68393555	45.56185615	53.63827988	56.07645027
ENSG00000001084	127.7482398	89.71903531	78.34674805	114.5919752	98.05562848	96.64086098	84.53221098	87.57119816	109.6579019	101.588239
ENSG00000001167	23.80422209	25.86644282	25.42742504	23.5634492	26.79617978	24.5628855	24.66072301	23.86737658	23.23260634	20.48513634
ENSG00000001460	9.215588034	8.699625186	7.948220817	11.64891933	8.209613904	9.932532934	9.956602073	8.312193287	9.409205566	8.084542802
ENSG00000001461	20.61295839	17.39925037	20.16301904	22.65278449	20.12997329	17.8517146	20.90227058	21.10814229	20.88030494	16.33013227
ENSG00000001497	38.23003658	50.57072198	44.31735243	43.63601703	44.95584574	43.99172526	47.87081526	46.80351158	43.00936248	45.06085809
ENSG00000001561	54.41430249	38.05255902	45.45281255	38.8929717	44.36475354	59.5280859	47.31034429	57.90942958	52.18624198	41.90434337
ENSG00000001617	25.79062093	30.18305074	38.57123608	33.42898348	38.74937763	38.62278854	33.76013418	34.80084244	38.24667818	21.54804436
ENSG00000001626	1.400248358	0.498070144	0.756973411	0.607109802	0.459738379	0.536893672	0.461564335	0.689808572	0.871222738	0.773024013
ENSG00000001629	64.02065751	67.83715364	66.88892324	60.2177035	71.45647942	73.28598625	83.01564245	74.08544059	80.41385868	75.6919346
ENSG00000001630	2.377165818	2.058689929	2.614999057	1.403941418	1.57624587	2.885803488	2.340790554	2.448820429	2.061893812	1.9969787
ENSG00000001631	39.69541277	43.63094463	43.14748443	38.51352808	37.04177794	43.21994061	40.41984815	41.62994729	38.97269713	40.90585402
ENSG00000002016	13.31864136	20.75292268	18.33940128	14.64652398	17.30586611	16.64370384	14.01177444	14.69292257	13.3877894	12.1751282
ENSG00000002330	24.84626738	27.09501585	29.28110786	26.90255311	26.04089531	28.28758535	22.7814968	20.521805	22.85507648	24.44688441
ENSG00000002549	93.88176785	89.65262596	98.71621438	96.56840291	89.05789164	99.96289058	134.3152213	118.1297179	117.7312326	100.7507964
ENSG00000002586	244.3596205	399.8507118	420.3610983	383.4277844	340.5676232	340.893926	345.8765309	272.6123475	283.2925935	328.5674148
ENSG00000002587	1.53050402	3.320467628	3.131117291	2.238717396	2.659914905	1.879127852	1.450630766	1.896973572	2.149016086	4.155004069
ENSG00000002726	0.716406137	0.464865468	1.754801998	0.341499264	1.247861313	0.604005381	0.527502097	0.206942571	0.493692885	1.030698684
ENSG00000002745	0.455894814	0.099614029	0.068815765	0.265610538	0.065676911	0.570449527	0.098906643	1.103693715	1.53916017	0.225465337
ENSG00000002746	0.358203068	0.298842087	0.44730247	0.682998527	0.328384556	0.033555855	0.263751048	0.275923429	0.058081516	0.161046669
ENSG00000002822	20.18962749	23.21006872	21.53933433	26.90255311	23.87355723	19.46239561	21.13305274	20.86670929	18.46992204	23.70606973
ENSG00000002834	266.4053912	258.6644282	295.2196303	321.8061395	274.3981351	283.1107445	326.3259845	316.2427396	289.5363565	337.843703
ENSG00000002919	29.5680351	28.88806836	32.82511974	32.55626314	27.51862581	35.03231211	29.54011741	28.59256529	28.11145367	27.98991113
ENSG00000002933	26.8001023	49.01010219	49.30649537	42.80124105	39.66885439	40.40124883	40.88141248	20.90119972	25.58490773	32.40258988
ENSG00000003056	54.28404683	66.40935256	69.43510653	56.61298905	53.42816729	58.08518415	56.08006664	60.63417344	51.57638607	70.69948785
ENSG00000003096	4.982279043	8.865648567	5.986971524	5.274266406	4.597383787	4.563596213	7.286122709	3.104138572	4.443235962	4.444888074
ENSG00000003137	28.68880939	50.30508457	30.38216009	24.89150189	23.34814194	49.62910882	44.70580268	52.94280787	30.14430672	60.74680368
ENSG00000003147	28.23291458	28.22397484	34.99281632	30.27960138	30.76963291	26.50912506	26.0783849	38.62928001	28.37282049	26.0573511
ENSG00000003249	8.531745812	2.722783455	2.51177541	4.401546066	18.29101978	4.999822322	3.593608033	2.931686429	5.895273858	5.507796092
ENSG00000003393	27.54907236	33.30429031	33.27242221	28.04088399	28.0440411	33.42163109	31.05668594	32.04160815	26.63037501	27.37793379
ENSG00000003400	28.03753108	32.80622017	45.62485196	33.04953986	37.86273933	31.6431708	40.05719046	41.04361001	31.79962992	29.21386582
ENSG00000003402	275.1976483	272.3447549	256.6483942	255.9726703	263.8569909	294.5868467	309.4129485	284.3735836	294.9669782	262.6026991
ENSG00000003436	26.93035796	38.84947125	52.09353384	38.05819572	35.53120898	28.22047364	41.04625689	23.97084786	27.06598638	28.89177248
ENSG00000003509	15.04452887	17.26643167	19.68130869	14.87419015	14.94149731	14.32834988	14.47333877	15.79661629	13.06834106	13.46350156
ENSG00000003756	159.0421624	162.5368904	191.9271676	160.8082089	180.2174444	156.5380613	170.3831772	168.6926862	160.6534728	150.5464265
ENSG00000003987	1.432812274	1.394596404	2.339735998	1.897218132	1.970307337	1.610681016	2.406728316	1.586559715	1.713404717	2.447909374
ENSG00000003989	16.21682983	25.2023493	20.57591363	16.73346392	19.14481963	13.28811839	25.18822511	24.66065643	13.91052304	16.26571361
ENSG00000004059	45.7197371	68.20240508	71.39635582	63.0635307	55.79253609	55.26649238	54.00302714	56.08143687	50.76324484	55.04575159
ENSG00000004139	5.340482111	7.570666192	9.599799168	6.792040912	8.76786765	7.046729447	9.066442285	8.864040145	4.87884733	6.957216116
ENSG00000004142	115.4390798	100.012485	99.40437203	105.371495	98.21982075	90.60080717	87.13675258	101.9192164	94.23725945	100.1710283
ENSG00000004399	254.6498177	391.416724	372.1212473	390.0680479	462.069909	317.2370485	425.0348143	411.7467364	326.7956489	390.4093359
ENSG00000004455	99.9386561	90.8479943	91.62819063	80.78354805	88.79518399	78.68847882	85.68612181	88.2265163	74.66378861	85.41915343
ENSG00000004468	4.591512059	13.11584713	4.507432584	7.019707088	11.55913638	2.818691779	6.297056278	6.656652716	6.185681437	6.506285442
ENSG00000004478	32.49878748	28.48961225	27.42308221	37.22341975	29.88299461	37.1798868	23.93540763	27.31641943	25.29450015	18.74583231
ENSG00000004487	45.32897012	54.78771586	57.52997924	45.91267879	42.3944462	50.03177907	50.67317015	53.11526001	44.20003355	47.09004612
